#CANONICAL_CLASS_NAME "AUTHOR"
edu.uci.ics.jung.algorithms.util.SelfLoopEdgePredicate "UNKNOWN"
edu.uci.ics.jung.algorithms.util.SettableTransformer "Joshua O"
edu.uci.ics.jung.algorithms.util.WeightedChoice "UNKNOWN"
edu.uci.ics.jung.graph.AbstractGraph "Joshua O"
edu.uci.ics.jung.graph.AbstractTypedGraph "UNKNOWN"
edu.uci.ics.jung.graph.DelegateForest "Tom Nelson"
edu.uci.ics.jung.graph.DelegateTree "Tom Nelson"
edu.uci.ics.jung.graph.DirectedGraph "Tom Nelson"
edu.uci.ics.jung.graph.DirectedOrderedSparseMultigraph "UNKNOWN"
edu.uci.ics.jung.graph.DirectedSparseGraph "UNKNOWN"
edu.uci.ics.jung.graph.DirectedSparseMultigraph "UNKNOWN"
edu.uci.ics.jung.graph.event.GraphEvent "tom nelson"
edu.uci.ics.jung.graph.event.GraphEventListener "UNKNOWN"
edu.uci.ics.jung.graph.Forest "Joshua O"
edu.uci.ics.jung.graph.Graph "Joshua O"
edu.uci.ics.jung.graph.GraphDecorator "UNKNOWN"
edu.uci.ics.jung.graph.Hypergraph "Joshua O"
edu.uci.ics.jung.graph.KPartiteGraph "Joshua O"
edu.uci.ics.jung.graph.MultiGraph "Joshua O"
edu.uci.ics.jung.graph.ObservableGraph "Joshua O"
edu.uci.ics.jung.graph.OrderedKAryTree "UNKNOWN"
edu.uci.ics.jung.graph.OrderedSparseMultigraph "UNKNOWN"
edu.uci.ics.jung.graph.SetHypergraph "UNKNOWN"
edu.uci.ics.jung.graph.SortedSparseMultigraph "Joshua O"
edu.uci.ics.jung.graph.SparseGraph "UNKNOWN"
edu.uci.ics.jung.graph.SparseMultigraph "UNKNOWN"
edu.uci.ics.jung.graph.Tree "Joshua O"
edu.uci.ics.jung.graph.UndirectedGraph "UNKNOWN"
edu.uci.ics.jung.graph.UndirectedOrderedSparseMultigraph "UNKNOWN"
edu.uci.ics.jung.graph.UndirectedSparseGraph "UNKNOWN"
edu.uci.ics.jung.graph.UndirectedSparseMultigraph "UNKNOWN"
edu.uci.ics.jung.graph.util.Context "UNKNOWN"
edu.uci.ics.jung.graph.util.DefaultParallelEdgeIndexFunction "Joshua O"
edu.uci.ics.jung.graph.util.EdgeIndexFunction "Tom Nelson"
edu.uci.ics.jung.graph.util.EdgeType "UNKNOWN"
edu.uci.ics.jung.graph.util.Graphs "Tom Nelson"
edu.uci.ics.jung.graph.util.IncidentEdgeIndexFunction "Tom Nelson"
edu.uci.ics.jung.graph.util.Pair "UNKNOWN"
edu.uci.ics.jung.graph.util.TestGraphs "UNKNOWN"
edu.uci.ics.jung.graph.util.TreeUtils "UNKNOWN"
edu.uci.ics.jung.io.GraphFile "Scott"
edu.uci.ics.jung.io.GraphIOException "Nathan Mittler"
edu.uci.ics.jung.io.graphml.AbstractMetadata "Nathan Mittler"
edu.uci.ics.jung.io.graphml.DataMetadata "Nathan Mittler"
edu.uci.ics.jung.io.graphml.EdgeMetadata "Nathan Mittler"
edu.uci.ics.jung.io.graphml.EndpointMetadata "Nathan Mittler"
edu.uci.ics.jung.io.graphml.ExceptionConverter "Nathan Mittler"
edu.uci.ics.jung.io.graphml.GraphMetadata "Nathan Mittler"
edu.uci.ics.jung.io.graphml.GraphMLConstants "Nathan Mittler"
