#CANONICAL_CLASS_NAME CANONICAL_CLASS_NAME
org.apache.lucene.util.packed.BulkOperationPacked1 org.apache.lucene.util.packed.BulkOperationPacked4
org.apache.lucene.util.packed.BulkOperationPacked1 org.apache.lucene.util.packed.BulkOperationPacked6
org.apache.lucene.util.packed.BulkOperationPacked1 org.apache.lucene.util.packed.BulkOperationPacked9
org.apache.lucene.util.packed.BulkOperationPacked1 org.apache.lucene.util.packed.BulkOperationPacked8
org.apache.lucene.util.packed.BulkOperationPacked1 org.apache.lucene.util.packed.BulkOperationPacked21
org.apache.lucene.util.packed.BulkOperationPacked1 org.apache.lucene.util.packed.BulkOperationPacked14
org.apache.lucene.util.packed.BulkOperationPacked1 org.apache.lucene.util.packed.BulkOperationPacked16
org.apache.lucene.util.packed.Direct32 org.apache.lucene.util.packed.Direct8
org.apache.lucene.util.packed.Direct32 org.apache.lucene.util.packed.Direct16
org.apache.lucene.util.packed.BulkOperationPacked17 org.apache.lucene.util.packed.BulkOperationPacked10
org.apache.lucene.util.packed.BulkOperationPacked17 org.apache.lucene.util.packed.BulkOperationPacked13
